0,1
qualiteijt Huijs gesinnen,qualiteijt
qualiteijt Den EEagtb: Dulius Valentheijn Stein v: gollenesse Commandeur,qualiteijt Commandeur
EEagtb: Dulius Valentheijn Stein v: gollenesse Commandeur hoofd administrateur Adriaan harsteede- Coopman.,Coopman.
heer hoofd administrateur Adriaan harsteede- Eeerw: Walerius Nicolai Coopman. predicante,predicante
heer Eeerw: Walerius Nicolai d'weduwe Coppercoopman Iohannes Steenhuijsen. predicante,/ weduwe predicante
d'weduwe Coppercoopman Iohannes Steenhuijsen. manhaften fredrik wernek -oud,-oud Capitai
manhaften fredrik wernek D=o huijsvrouw albert Legrand -oud,Capitai
E D=o huijsvrouw albert Legrand Daniel Simonsz: oud,oud Coopman
Simonsz: gerrit Greuningen Luijtenant oud,Luijtenant
Francois gerrit Greuningen Luijtenant ondercoopman terburg eerste,eerste palchuer
Francois ondercoopman terburg _=o Abraham dewelle fiscaal eerste,fiscaal palchuer
Abraham dewelle fiscaal Ioannes Mooijaart secretaris,secretaris
Ioannes Mooijaart secretaris Ian delille Casseer,Casseer
Ian delille Corijn Stevens Casseer winkelier,Casseer winkelier
Corijn Stevens Nicolaas bowijn zoldrij winkelier,boeker: winkelier
„. zoldrij Cornelis Meeckeren hooft,hooft toeg
„. Cornelis Meeckeren hooft Coenraat Abrahamsz: —,hooft toeg
Jan Coenraat Abrahamsz: hendrik Lubbe – vaandrig —,vaandrig
schut- – vaandrig ---,
schut- daniel bos ---,_o
der -- Linde,
-- Linde Ernst Christiaan Harrigers opperchir:,opperchir:
Harrigers Gulliam gerrad Francimont opperchir: -Eerste,-Eerste Clerq
pieter Gulliam gerrad Francimont Isaaksz: -Eerste negot:,Clerq negot: overdrag
harmanus dijk— negot: zoldij,_:o zoldij
den dijk— adolph brouwer gijsbert -. zoldij stads,stads Chir:
"van gijsbert vorden -. stads , dispecier",dispecier
